,club_api_id,club_name,year,league_name,average_age,total_spent,nTransfers,Fifteen_TwentyTwo,TwentyThree_TwentyNine,Thirty_Plus,Defender,Forward,Midfielder,league_position,position_value,win_pct,goals_for,goals_against,goal_difference,three_year_spending,two_year_spending,pos_val_pct_change
0,6403,FC Paços de Ferreira,2008,Liga Nos,24.962797619047624,0.005456174649723037,23,0.000595959595959596,0.004860215053763441,0.0,0.0024301075268817205,0.0012150537634408602,0.0018110133594004558,10.0,55.0,0.3,37.0,42.0,-5.0,,,
1,6403,FC Paços de Ferreira,2009,Liga Nos,22.74444444444445,0.004837080482241772,27,0.001191919191919192,0.003645161290322581,0.0,0.0012150537634408602,0.0024069729553600518,0.0012150537634408602,9.0,60.0,0.26666666666666666,32.0,37.0,-5.0,,0.010293255131964808,9.090909090909092
2,6403,FC Paços de Ferreira,2010,Liga Nos,23.70833333333333,0.06081101335940045,19,0.059595959595959584,0.0012150537634408602,0.0,0.0012150537634408602,0.059595959595959584,0.0,7.0,70.0,0.3333333333333333,35.0,42.0,-7.0,0.07110426849136525,0.06564809384164222,16.666666666666668
3,6403,FC Paços de Ferreira,2011,Liga Nos,23.79200680272109,0.014557510589768653,35,0.001191919191919192,0.01336559139784946,0.0,0.004241120886282177,0.007886282176604757,0.0024301075268817205,10.0,55.0,0.26666666666666666,35.0,53.0,-18.0,0.08020560443141088,0.0753685239491691,-21.428571428571427
4,6403,FC Paços de Ferreira,2012,Liga Nos,22.206349206349206,0.0048139459107201035,26,0.002383838383838384,0.0024301075268817205,0.0,0.0030260671228413165,0.0,0.001787878787878788,3.0,90.0,0.4666666666666667,42.0,29.0,13.0,0.08018246985988921,0.01937145650048876,63.63636363636363
5,6403,FC Paços de Ferreira,2013,Liga Nos,24.1530612244898,0.12088628217660476,31,0.000595959595959596,0.12029032258064515,0.0,0.11543010752688172,0.0030260671228413165,0.0024301075268817205,16.0,25.0,0.2,28.0,59.0,-31.0,0.1402577386770935,0.12570022808732487,-72.22222222222223
6,6403,FC Paços de Ferreira,2014,Liga Nos,23.766326530612243,0.0024301075268817205,27,0.0,0.0024301075268817205,0.0,0.0024301075268817205,0.0,0.0,8.0,65.0,0.35294117647058826,40.0,45.0,-5.0,0.1281303356142066,0.12331638970348648,160.0
7,6403,FC Paços de Ferreira,2015,Liga Nos,23.347222222222207,0.001787878787878788,23,0.001787878787878788,0.0,0.0,0.000595959595959596,0.000595959595959596,0.000595959595959596,7.0,70.0,0.38235294117647056,43.0,42.0,1.0,0.12510426849136527,0.0042179863147605075,7.6923076923076925
8,7844,Vitória Guimarães SC,2008,Liga Nos,23.852380952380948,0.7334308598028478,14,0.3507831325301205,0.3826477272727273,0.0,0.04464772727272728,0.6887831325301206,0.0,8.0,65.0,0.3333333333333333,32.0,36.0,-4.0,,,
9,7844,Vitória Guimarães SC,2009,Liga Nos,24.391666666666666,0.6469971248630888,21,0.10734939759036144,0.5396477272727273,0.0,0.2604308598028477,0.0,0.38656626506024094,6.0,75.0,0.3666666666666665,31.0,34.0,-3.0,,1.3804279846659366,15.384615384615385
10,7844,Vitória Guimarães SC,2010,Liga Nos,24.660416666666666,1.3471542990142389,36,0.6739156626506024,0.6732386363636365,0.0,0.5750785870755749,0.6200785870755751,0.15199712486308875,5.0,80.0,0.4,36.0,37.0,-1.0,2.727582283680176,1.9941514238773281,6.666666666666668
11,7844,Vitória Guimarães SC,2011,Liga Nos,24.366213151927447,1.2497263143483022,28,0.3957831325301205,0.8539431818181819,0.0,0.0,0.7557831325301204,0.4939431818181818,6.0,75.0,0.4666666666666667,40.0,40.0,0.0,3.2438777382256294,2.596880613362541,-6.25
12,7844,Vitória Guimarães SC,2012,Liga Nos,23.82857142857143,0.035783132530120484,20,0.035783132530120484,0.0,0.0,0.0,0.035783132530120484,0.0,9.0,60.0,0.3666666666666665,36.0,47.0,-11.0,2.6326637458926614,1.2855094468784227,-20.0
13,7844,Vitória Guimarães SC,2013,Liga Nos,22.66666666666667,0.5750785870755751,16,0.035783132530120484,0.5392954545454546,0.0,0.04464772727272728,0.5304308598028478,0.0,10.0,55.0,0.3333333333333333,30.0,35.0,-5.0,1.8605880339539973,0.6108617196056956,-8.333333333333334
14,7844,Vitória Guimarães SC,2014,Liga Nos,23.642857142857146,0.08929545454545458,19,0.0,0.08929545454545458,0.0,0.0,0.08929545454545458,0.0,5.0,80.0,0.4411764705882353,50.0,35.0,15.0,0.7001571741511502,0.6643740416210298,45.45454545454545
15,7844,Vitória Guimarães SC,2015,Liga Nos,23.66666666666667,2.025,20,1.8,0.225,0.0,0.45,0.225,1.35,10.0,55.0,0.2647058823529412,45.0,53.0,-8.0,2.6893740416210297,2.1142954545454544,-31.25
16,8178,Bayer 04 Leverkusen,2008,1 Bundesliga,24.719047619047622,9.225,16,5.94,3.285,0.0,4.41,0.135,4.68,9.0,60.0,0.4117647058823529,59.0,46.0,13.0,,,
17,8178,Bayer 04 Leverkusen,2009,1 Bundesliga,24.78,6.951752212389381,14,6.951752212389381,0.0,0.0,1.281752212389381,3.42,2.25,4.0,85.0,0.4411764705882353,65.0,38.0,27.0,,16.17675221238938,41.66666666666666
18,8178,Bayer 04 Leverkusen,2010,1 Bundesliga,24.805555555555554,5.13,14,5.13,0.0,0.0,2.16,2.52,0.45,2.0,95.0,0.5882352941176471,64.0,44.0,20.0,21.30675221238938,12.08175221238938,11.764705882352944
